driver_id,total_fare,avg_distance
54,45.45,27.49
11,127.07,10.07
42,15.69,40.06
59,15.86,12.06
8,90.44,24.845
28,26.9,28.95
85,89.61,15.12
35,72.62,7.22
100,156.67,5.68
70,114.33000000000001,25.32
61,103.13,44.5
26,38.56,48.82
77,74.99,27.68
89,212.88000000000002,28.816666666666663
90,133.79,42.74
23,141.86,38.86
93,34.39,35.49
82,76.89,46.875
53,144.23,5.57
58,54.82,43.73
81,106.83,40.93
84,81.15,22.95
79,149.3,25.01
9,88.9,23.125
24,109.89,29.29
20,124.72,8.01
37,52.22,36.43
49,317.76,12.49
63,52.61,29.8
65,76.74,21.14
4,187.72,36.26
62,62.47,13.84
14,137.0,27.85
21,110.53,23.16
66,103.22,44.39
94,72.45,16.76
72,241.41,30.42
80,103.34,28.4
