driver_id,total_fare,avg_distance
7,38.16,47.93
54,45.45,27.49
11,225.38,11.905000000000001
42,15.69,40.06
30,103.9,1.29
59,15.86,12.06
8,137.53,31.209999999999997
28,26.9,28.95
85,89.61,15.12
35,72.62,7.22
100,156.67,5.68
70,114.33000000000001,25.32
61,103.13,44.5
26,38.56,48.82
77,74.99,27.68
89,212.88000000000002,28.816666666666663
90,133.79,42.74
19,101.52,14.54
23,141.86,38.86
93,42.45,26.62
82,76.89,46.875
53,144.23,5.57
86,138.83,34.62
58,54.82,43.73
81,106.83,40.93
84,81.15,22.95
79,179.29000000000002,21.01
9,232.76000000000002,26.436666666666667
24,109.89,29.29
20,181.48,22.305
37,52.22,36.43
49,317.76,12.49
63,52.61,29.8
65,173.89999999999998,18.685000000000002
4,187.72,36.26
39,103.5,11.97
62,62.47,13.84
14,137.0,27.85
21,110.53,23.16
66,103.22,44.39
94,72.45,16.76
91,40.33,44.5
72,404.31,31.177500000000002
80,103.34,28.4
57,136.49,31.33
