driver_id,total_fare,avg_distance
54,45.45,27.49
11,127.07,10.07
42,15.69,40.06
59,15.86,12.06
8,7.44,41.71
28,26.9,28.95
85,89.61,15.12
100,113.82,6.88
70,39.79,47.5
26,38.56,48.82
89,181.73000000000002,38.489999999999995
23,141.86,38.86
93,34.39,35.49
82,76.89,46.875
53,144.23,5.57
58,54.82,43.73
81,106.83,40.93
84,81.15,22.95
79,149.3,25.01
9,49.45,28.62
24,109.89,29.29
20,124.72,8.01
37,52.22,36.43
49,111.57,10.09
63,52.61,29.8
65,76.74,21.14
62,62.47,13.84
14,137.0,27.85
21,65.52,12.03
66,103.22,44.39
72,241.41,30.42
